square_diff, I_tot
5.733292993631E4,3.805264619002E10
1.025543524416E5,4.113797843889E10
1.191143099788E5,4.054685433515E10
1.324896602972E5,4.329596861672E10
1.452280891720E5,4.422072935979E10
1.605142038217E5,4.605992553408E10
1.834433757962E5,5.033847663427E10
1.980925690021E5,5.369678431532E10
2.095571549894E5,5.310049755566E10
2.165632908705E5,5.493130441406E10
2.254801910828E5,5.828380410719E10
2.350340127389E5,5.920533819031E10
2.439509129512E5,6.225388651569E10
2.535047346072E5,6.013590692130E10
2.605108704883E5,6.166276241195E10
2.649693205945E5,6.227518247139E10
2.687908492569E5,6.531856814085E10
2.719754564756E5,6.896921121381E10
2.770708280255E5,6.684671429548E10
2.847138853503E5,6.715840964713E10
